epoch,step,test_accuracy,train_accuracy_epoch,train_accuracy_step,train_loss_epoch,train_loss_step
0,0,,,0.30000001192092896,,1.1672855615615845
0,1,,,0.3499999940395355,,1.0898692607879639
0,2,,,0.25,,3.977386474609375
0,3,,,0.3499999940395355,,1.1485356092453003
0,4,,,0.30000001192092896,,1.1571691036224365
0,5,,,0.44999998807907104,,1.0796092748641968
0,6,,,0.30000001192092896,,1.1528234481811523
0,7,,,0.20000000298023224,,1.2342078685760498
0,8,,,0.550000011920929,,1.0117307901382446
0,9,,,0.15000000596046448,,1.2583489418029785
0,10,,,0.44999998807907104,,1.0688676834106445
0,11,,,0.3499999940395355,,1.1289469003677368
0,12,,,0.30000001192092896,,1.1517328023910522
0,13,,,0.30000001192092896,,1.1583380699157715
0,14,,,0.44999998807907104,,1.06513512134552
0,15,,,0.30000001192092896,,1.159756064414978
0,16,,,0.5,,1.037593960762024
0,17,,,0.25,,1.1897902488708496
0,18,,,0.44999998807907104,,1.0592180490493774
0,19,,,0.4000000059604645,,1.0947060585021973
0,20,,,0.20000000298023224,,1.204290747642517
0,21,,,0.30000001192092896,,1.1391321420669556
0,22,,,0.4000000059604645,,1.1090986728668213
0,23,,,0.44999998807907104,,1.0605884790420532
0,24,,,0.4000000059604645,,1.045867919921875
0,25,,,0.25,,1.1494581699371338
0,26,,,0.3499999940395355,,1.1301597356796265
0,27,,,0.4000000059604645,,1.137939214706421
0,28,,,0.6000000238418579,,1.0155372619628906
0,29,,,0.44999998807907104,,1.059912919998169
0,30,,,0.3499999940395355,,1.0918008089065552
0,31,,,0.25,,1.093399167060852
0,32,,,0.20000000298023224,,1.1787384748458862
0,33,,,0.44999998807907104,,1.0817201137542725
0,34,,,0.4000000059604645,,1.1278884410858154
0,35,,,0.25,,1.1376588344573975
0,36,,,0.3499999940395355,,1.068306565284729
0,37,,,0.30000001192092896,,1.1582623720169067
0,38,,,0.3499999940395355,,1.0616332292556763
0,39,,,0.3499999940395355,,1.1210644245147705
0,39,,0.3499999940395355,,1.1890876293182373,
1,40,,,0.3499999940395355,,1.0808030366897583
1,41,,,0.30000001192092896,,1.173635721206665
1,42,,,0.4000000059604645,,1.1012235879898071
1,43,,,0.3499999940395355,,1.1099740266799927
1,44,,,0.25,,1.1385732889175415
1,45,,,0.44999998807907104,,1.083954095840454
1,46,,,0.20000000298023224,,1.1483620405197144
1,47,,,0.30000001192092896,,1.1039912700653076
1,48,,,0.4000000059604645,,1.0815484523773193
1,49,,,0.4000000059604645,,1.1066911220550537
1,50,,,0.3499999940395355,,1.109915018081665
1,51,,,0.550000011920929,,1.0088129043579102
1,52,,,0.30000001192092896,,1.1301478147506714
1,53,,,0.4000000059604645,,1.0937694311141968
1,54,,,0.4000000059604645,,1.0891014337539673
1,55,,,0.44999998807907104,,1.071057677268982
1,56,,,0.15000000596046448,,1.1605277061462402
1,57,,,0.25,,1.1377805471420288
1,58,,,0.6000000238418579,,1.0234832763671875
